feature,cohens_d,ks_stat,cohens_d_norm,ks_stat_norm,separability_score
V14,7.522232814043625,0.8377276012497183,0.9288483645250188,1.0,0.9644241822625095
V17,8.092437571015354,0.7355319002310734,1.0,0.8699172603469789,0.9349586301734895
V12,6.348196022814036,0.7766405561171831,0.7823489942857665,0.9222435962673405,0.8522962952765536
V10,5.185574083453133,0.797032772433349,0.6372739990087211,0.948200415776998,0.7927372073928596
V3,4.54527766972233,0.6951761850985398,0.5573761439510675,0.8185493267375301,0.6879627353442987
V16,4.6708755396154045,0.6782064986777858,0.5730485734525793,0.7969489729196957,0.6849987731861376
V11,3.6952279658035603,0.7473803982931044,0.4513047267463832,0.884998962153607,0.6681518444499951
V4,3.1968892480700872,0.7607318445595246,0.38912072292370103,0.9019937348432053,0.6455572288834532
V7,4.288743314458526,0.651648644158422,0.5253651185968113,0.7631440433507415,0.6442545809737764
V2,2.081786933562669,0.624073575473421,0.24997535026755308,0.7280443234514598,0.4890098368595064
V9,2.3149098631931073,0.575157617068132,0.2790650369233012,0.6657802377933723,0.47242263735833673
V18,2.596539587560992,0.48928798508962645,0.3142075278305397,0.5564786050493222,0.4353430664399309
V1,2.3264502947522665,0.46639246729641715,0.28050508204653396,0.527335386199326,0.40392023412293
V5,2.1608108491592732,0.41905949968796896,0.2598361603846003,0.4670862559419651,0.3634612081632827
V6,1.077496568880256,0.4803644227873319,0.12465738147610414,0.5451199919161229,0.33488868669611355
V21,0.6462996062682558,0.5124578450618882,0.0708515008225879,0.5859710282386186,0.3284112645306032
V27,0.5367493885418417,0.4708419143945966,0.057181539177106416,0.5329989930115809,0.2950902660943437
V8,0.8110088431393093,0.369729908273682,0.0914043486161614,0.40429566560232,0.2478500071092407
V20,0.5267960347820766,0.3689640251613486,0.05593953375745774,0.40332078923752906,0.2296301614974934
V19,0.8248354064315784,0.33539962245781085,0.09312966321449621,0.36059737313515433,0.22686351817482528
V28,0.23734732140715545,0.3660292893341104,0.019821369026370158,0.39958522626609483,0.2097032976462325
Amount,0.14160900414597297,0.26547753657710993,0.007874892313455815,0.2715950334774817,0.13973496289546877
V23,0.15524313986341037,0.1825820272927178,0.009576195297554952,0.1660790984120837,0.08782764685481934
Time,0.302975995846995,0.16040119789516638,0.028010686045135746,0.13784559125816395,0.08292813865164984
V24,0.1767395990273304,0.12892213461233892,0.012258579489782744,0.09777655946206196,0.05501756947592235
V13,0.09552311494917372,0.10153998469711625,0.002124174963979885,0.06292240177188624,0.03252328836793306
V26,0.10453450412524493,0.09268888169056222,0.003248639588203983,0.051656020538945926,0.027452330063574955
V25,0.07850010963080013,0.09071266411819634,0.0,0.04914053511831268,0.02457026755915634
V22,0.11979754884230728,0.056059259702005204,0.005153202082060204,0.005030951840051103,0.0050920769610556535
V15,0.08087939410888911,0.05210683948502276,0.0002968933173678542,0.0,0.0001484466586839271
